"","Species","Pump_type","Frequency","Frequency_theoretical","rpm","Control","Fin_cut","State","Length","Weight","number_of_released_fish","number_of_released_fish_per_scenario","Number_Injuries","Injury_type_no","Injury_type_slight","Injury_type_severe","Injury_type_dead","number_recaptured","number_state_binom","percentage_state_test","Pump_type_Frequency","Injury","Value","percentage_injury_test"
"152","bream","F/N","47","47","550","control","borstvin links 2018-12-19","Dead",NA,NA,45,NA,NA,NA,NA,NA,NA,44,0,0,"F/N 47","Class_2.2",NA,NA
"153","bream","F/N","47","47","550","pump","staart onder 2018-12-19","Alive",354.2,826.4,52,52,1,1,9,0,0,52,10,19,"F/N 47","Class_2.2",0,0
"154","bream","F/N","47","47","550","pump","staart onder 2018-12-19","Dead",363.095832697426,753.388095238095,52,52,1.4047619047619,1,2,39,0,52,42,81,"F/N 47","Class_2.2",0,0
"155","eel","F/N","40","40","468","control","borstvin links (bol) 2018-10-24","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,"F/N 40","Class_2.2",0,0
"156","eel","F/N","40","40","468","control","borstvin links (bol) 2018-10-24","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,45,0,0,"F/N 40","Class_2.2",NA,NA
"157","eel","F/N","40","40","468","pump","buikvin 2 knip 2018-10-24","Alive",638.220779220779,434.454545454545,100,300,1,74,3,0,0,77,77,100,"F/N 40","Class_2.2",0,0
"158","eel","F/N","40","40","468","pump","buikvin 2 knip 2018-10-24","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,77,0,0,"F/N 40","Class_2.2",NA,NA
"159","eel","F/N","40","40","468","pump","geen 2018-10-24","Alive",627.80487804878,428.573170731707,100,300,1,76,6,0,0,82,82,100,"F/N 40","Class_2.2",0,0
"160","eel","F/N","40","40","468","pump","geen 2018-10-24","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,82,0,0,"F/N 40","Class_2.2",NA,NA
"161","eel","F/N","40","40","468","pump","rugvin 2 knip 2018-10-24","Alive",632.255813953488,440.720930232558,100,300,1,80,6,0,0,86,86,100,"F/N 40","Class_2.2",0,0
"162","eel","F/N","40","40","468","pump","rugvin 2 knip 2018-10-24","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,86,0,0,"F/N 40","Class_2.2",NA,NA
"163","eel","F/N","40","47","468","control","buikvin 1 knip 2018-10-23","Alive",637,433,50,50,1,2,0,0,0,2,2,100,"F/N 40","Class_2.2",0,0
"164","eel","F/N","40","47","468","control","buikvin 1 knip 2018-10-23","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,2,0,0,"F/N 40","Class_2.2",NA,NA
"165","eel","F/N","40","47","468","pump","rugvin 1 knip 2018-10-23","Alive",643,453.666666666667,100,300,1,3,0,0,0,3,3,100,"F/N 40","Class_2.2",0,0
"166","eel","F/N","40","47","468","pump","rugvin 1 knip 2018-10-23","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,3,0,0,"F/N 40","Class_2.2",NA,NA
"167","eel","F/N","40","47","468","pump","staartvin 1 knip 2018-10-23","Alive",629.75,455,100,300,1,8,0,0,0,8,8,100,"F/N 40","Class_2.2",0,0
"168","eel","F/N","40","47","468","pump","staartvin 1 knip 2018-10-23","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,8,0,0,"F/N 40","Class_2.2",NA,NA
"169","eel","F/N","47","47","550","control","buikvin 1 knip 2018-10-23","Alive",637.617021276596,435.531914893617,50,50,1,45,2,0,0,47,47,100,"F/N 47","Class_2.2",1,0.0212765957446809
"170","eel","F/N","47","47","550","control","buikvin 1 knip 2018-10-23","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,47,0,0,"F/N 47","Class_2.2",NA,NA
"171","eel","F/N","47","47","550","pump","geen 2018-10-23","Alive",629.775510204082,430.897959183673,100,300,1,82,16,0,0,98,98,100,"F/N 47","Class_2.2",0,0
"172","eel","F/N","47","47","550","pump","geen 2018-10-23","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,98,0,0,"F/N 47","Class_2.2",NA,NA
"173","eel","F/N","47","47","550","pump","rugvin 1 knip 2018-10-23","Alive",633.295454545455,438.943181818182,100,300,1,82,6,0,0,88,88,100,"F/N 47","Class_2.2",0,0
"174","eel","F/N","47","47","550","pump","rugvin 1 knip 2018-10-23","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,88,0,0,"F/N 47","Class_2.2",NA,NA
"175","eel","F/N","47","47","550","pump","staartvin 1 knip 2018-10-23","Alive",628.888888888889,425.716049382716,100,300,1,78,3,0,0,81,81,100,"F/N 47","Class_2.2",0,0
"176","eel","F/N","47","47","550","pump","staartvin 1 knip 2018-10-23","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,81,0,0,"F/N 47","Class_2.2",NA,NA
"177","roach","F/N","40","40","468","control","geen merkteken 2018-12-18","Alive",177.125,93.65625,50,100,1,36,12,0,0,48,48,100,"F/N 40","Class_2.2",0,0
"178","roach","F/N","40","40","468","control","geen merkteken 2018-12-18","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,48,0,0,"F/N 40","Class_2.2",NA,NA
"179","roach","F/N","40","40","468","control","staart onder + staart boven 2018-11-22","Alive",165.636363636364,74.4704545454545,50,100,1,34,10,0,0,47,44,94,"F/N 40","Class_2.2",0,0
"180","roach","F/N","40","40","468","control","staart onder + staart boven 2018-11-22","Dead",178,93.7,50,100,2,0,0,3,0,47,3,6,"F/N 40","Class_2.2",1,0.0212765957446809
"181","roach","F/N","40","40","468","pump","borstvin links + borstvin rechts (+ soms STAB) 2018-11-21","Alive",163.018181818182,72.2254545454545,100,400,1,32,23,0,0,77,55,71,"F/N 40","Class_2.2",1,0.012987012987013
"182","roach","F/N","40","40","468","pump","borstvin links + borstvin rechts (+ soms STAB) 2018-11-21","Dead",169.454545454545,79.6590909090909,100,400,1.59090909090909,4,7,11,3,77,22,29,"F/N 40","Class_2.2",0,0
"183","roach","F/N","40","40","468","pump","buikvin links + buikvin rechts 2018-11-22","Alive",166.169491525424,76.4796610169492,100,400,1,35,24,0,0,83,59,71,"F/N 40","Class_2.2",0,0
"184","roach","F/N","40","40","468","pump","buikvin links + buikvin rechts 2018-11-22","Dead",172.458333333333,83.6041666666667,100,400,1.5,5,6,13,0,83,24,29,"F/N 40","Class_2.2",2,0.0240963855421687
"185","roach","F/N","40","40","468","pump","staart boven 2018-12-18","Alive",177.6,94.3066666666667,100,400,1,19,11,0,0,42,30,71,"F/N 40","Class_2.2",0,0
"186","roach","F/N","40","40","468","pump","staart boven 2018-12-18","Dead",176.666666666667,92.3416666666667,100,400,1.41666666666667,1,5,6,0,42,12,29,"F/N 40","Class_2.2",0,0
"187","roach","F/N","40","40","468","pump","staart onder 2018-11-21","Alive",163.969230769231,73.3353846153846,100,400,1,43,22,0,0,86,65,76,"F/N 40","Class_2.2",0,0
"188","roach","F/N","40","40","468","pump","staart onder 2018-11-21","Dead",166.047619047619,76.0238095238095,100,400,1.47619047619048,2,11,8,5,86,21,24,"F/N 40","Class_2.2",1,0.0116279069767442
"189","roach","F/N","40","47","468","control","staart boven 2018-11-20","Alive",163,75.65,50,50,1,2,0,0,0,2,2,100,"F/N 40","Class_2.2",0,0
"190","roach","F/N","40","47","468","control","staart boven 2018-11-20","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,2,0,0,"F/N 40","Class_2.2",NA,NA
"191","roach","F/N","40","47","468","pump","borstvin links 2018-11-20","Alive",158,68,100,500,1,0,1,0,0,1,1,100,"F/N 40","Class_2.2",0,0
"192","roach","F/N","40","47","468","pump","borstvin links 2018-11-20","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,1,0,0,"F/N 40","Class_2.2",NA,NA
"193","roach","F/N","40","47","468","pump","borstvin rechts 2018-11-21","Alive",167.785714285714,78.4285714285714,100,500,1,9,5,0,0,21,14,67,"F/N 40","Class_2.2",0,0
"194","roach","F/N","40","47","468","pump","borstvin rechts 2018-11-21","Dead",161.857142857143,70.9571428571429,100,500,1.14285714285714,1,5,1,0,21,7,33,"F/N 40","Class_2.2",0,0
"195","roach","F/N","40","47","468","pump","buikvin links 2018-11-21","Alive",165.904761904762,76.7809523809524,100,500,1,13,8,0,0,33,21,64,"F/N 40","Class_2.2",0,0
"196","roach","F/N","40","47","468","pump","buikvin links 2018-11-21","Dead",168.416666666667,77.3666666666667,100,500,1.75,1,2,9,2,33,12,36,"F/N 40","Class_2.2",0,0
"197","roach","F/N","47","40","550","pump","staart boven 2018-12-18","Alive",174.758620689655,86.5413793103448,100,400,1,19,10,0,0,39,29,74,"F/N 47","Class_2.2",0,0
"198","roach","F/N","47","40","550","pump","staart boven 2018-12-18","Dead",178,95.45,100,400,1.7,0,2,8,0,39,10,26,"F/N 47","Class_2.2",1,0.0256410256410256
"199","roach","F/N","47","47","550","control","staart boven 2018-11-20","Alive",165.414634146341,74.0829268292683,50,50,1,37,4,0,0,41,41,100,"F/N 47","Class_2.2",1,0.024390243902439
"200","roach","F/N","47","47","550","control","staart boven 2018-11-20","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,41,0,0,"F/N 47","Class_2.2",NA,NA
"201","roach","F/N","47","47","550","pump","borstvin links 2018-11-20","Alive",167.508474576271,77.2135593220339,100,500,1,40,19,0,0,86,59,69,"F/N 47","Class_2.2",0,0
"202","roach","F/N","47","47","550","pump","borstvin links 2018-11-20","Dead",168,79.8777777777778,100,500,1.44444444444444,3,10,14,0,86,27,31,"F/N 47","Class_2.2",0,0
"203","roach","F/N","47","47","550","pump","borstvin rechts 2018-11-21","Alive",166.461538461538,77.2903846153846,100,500,1,40,12,0,0,72,52,72,"F/N 47","Class_2.2",1,0.0138888888888889
"204","roach","F/N","47","47","550","pump","borstvin rechts 2018-11-21","Dead",163.6,69.895,100,500,1.95,2,5,13,8,72,20,28,"F/N 47","Class_2.2",0,0
"205","roach","F/N","47","47","550","pump","buikvin links 2018-11-21","Alive",163.882352941176,72.4529411764706,100,500,1,24,10,0,0,56,34,61,"F/N 47","Class_2.2",0,0
"206","roach","F/N","47","47","550","pump","buikvin links 2018-11-21","Dead",168.409090909091,74.5272727272727,100,500,1.45454545454545,2,11,9,6,56,22,39,"F/N 47","Class_2.2",0,0
"207","roach","F/N","47","47","550","pump","buikvin rechts 2018-11-20","Alive",166.759259259259,77.0425925925926,100,500,1.01851851851852,41,13,0,0,87,54,62,"F/N 47","Class_2.2",1,0.0114942528735632
"208","roach","F/N","47","47","550","pump","buikvin rechts 2018-11-20","Dead",167.545454545455,75.6757575757576,100,500,1.84848484848485,3,7,23,4,87,33,38,"F/N 47","Class_2.2",3,0.0344827586206897
"209","roach","F/N","47","47","550","pump","geen 2018-11-20","Alive",168.238805970149,79.4089552238806,100,500,1.02985074626866,43,24,0,0,88,67,76,"F/N 47","Class_2.2",0,0
"210","roach","F/N","47","47","550","pump","geen 2018-11-20","Dead",167.857142857143,77.7047619047619,100,500,1.38095238095238,1,8,12,3,88,21,24,"F/N 47","Class_2.2",0,0
"211","bream","F/N","40","40","468","control","borstvin rechts 2018-12-18","Alive",405.52,1250,50,50,1,48,2,0,0,50,50,100,"F/N 40","Class_2.3",2,0.04
"212","bream","F/N","40","40","468","control","borstvin rechts 2018-12-18","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,50,0,0,"F/N 40","Class_2.3",NA,NA
"213","bream","F/N","40","40","468","pump","geen 2018-12-18","Alive",398,1215.81818181818,100,155,1,0,11,0,0,64,11,17,"F/N 40","Class_2.3",11,0.171875
"214","bream","F/N","40","40","468","pump","geen 2018-12-18","Dead",397.032694029031,1076.64150943396,100,155,1.73584905660377,1,4,48,6,64,53,83,"F/N 40","Class_2.3",21,0.328125
"215","bream","F/N","40","40","468","pump","staart boven 2018-12-18","Alive",334.764705882353,665.611764705882,55,155,1,1,16,0,0,33,17,52,"F/N 40","Class_2.3",16,0.484848484848485
"216","bream","F/N","40","40","468","pump","staart boven 2018-12-18","Dead",356.634184061132,729.28125,55,155,1.25,0,2,14,0,33,16,48,"F/N 40","Class_2.3",3,0.0909090909090909
"217","bream","F/N","47","40","550","pump","geen 2018-12-18","Alive",400.6,1150.8,100,155,1.2,0,5,0,0,35,5,14,"F/N 47","Class_2.3",5,0.142857142857143
"218","bream","F/N","47","40","550","pump","geen 2018-12-18","Dead",404.170533770453,1017.23333333333,100,155,1.4,1,2,27,0,35,30,86,"F/N 47","Class_2.3",7,0.2
"219","bream","F/N","47","40","550","pump","staart boven 2018-12-18","Alive",330.6,646.2,55,155,1.2,3,2,0,0,22,5,23,"F/N 47","Class_2.3",2,0.0909090909090909
"220","bream","F/N","47","40","550","pump","staart boven 2018-12-18","Dead",330.176470588235,606.058823529412,55,155,1.47058823529412,0,4,13,0,22,17,77,"F/N 47","Class_2.3",8,0.363636363636364
"221","bream","F/N","47","47","550","control","borstvin links 2018-12-19","Alive",407.431818181818,1257.11363636364,45,45,1,43,1,0,0,44,44,100,"F/N 47","Class_2.3",1,0.0227272727272727
"222","bream","F/N","47","47","550","control","borstvin links 2018-12-19","Dead",NA,NA,45,NA,NA,NA,NA,NA,NA,44,0,0,"F/N 47","Class_2.3",NA,NA
"223","bream","F/N","47","47","550","pump","staart onder 2018-12-19","Alive",354.2,826.4,52,52,1,1,9,0,0,52,10,19,"F/N 47","Class_2.3",9,0.173076923076923
"224","bream","F/N","47","47","550","pump","staart onder 2018-12-19","Dead",363.095832697426,753.388095238095,52,52,1.4047619047619,1,2,39,0,52,42,81,"F/N 47","Class_2.3",4,0.0769230769230769
"225","eel","F/N","40","40","468","control","borstvin links (bol) 2018-10-24","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,"F/N 40","Class_2.3",3,0.0666666666666667
"226","eel","F/N","40","40","468","control","borstvin links (bol) 2018-10-24","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,45,0,0,"F/N 40","Class_2.3",NA,NA
"227","eel","F/N","40","40","468","pump","buikvin 2 knip 2018-10-24","Alive",638.220779220779,434.454545454545,100,300,1,74,3,0,0,77,77,100,"F/N 40","Class_2.3",3,0.038961038961039
"228","eel","F/N","40","40","468","pump","buikvin 2 knip 2018-10-24","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,77,0,0,"F/N 40","Class_2.3",NA,NA
"229","eel","F/N","40","40","468","pump","geen 2018-10-24","Alive",627.80487804878,428.573170731707,100,300,1,76,6,0,0,82,82,100,"F/N 40","Class_2.3",6,0.0731707317073171
"230","eel","F/N","40","40","468","pump","geen 2018-10-24","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,82,0,0,"F/N 40","Class_2.3",NA,NA
"231","eel","F/N","40","40","468","pump","rugvin 2 knip 2018-10-24","Alive",632.255813953488,440.720930232558,100,300,1,80,6,0,0,86,86,100,"F/N 40","Class_2.3",6,0.0697674418604651
"232","eel","F/N","40","40","468","pump","rugvin 2 knip 2018-10-24","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,86,0,0,"F/N 40","Class_2.3",NA,NA
"233","eel","F/N","40","47","468","control","buikvin 1 knip 2018-10-23","Alive",637,433,50,50,1,2,0,0,0,2,2,100,"F/N 40","Class_2.3",0,0
"234","eel","F/N","40","47","468","control","buikvin 1 knip 2018-10-23","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,2,0,0,"F/N 40","Class_2.3",NA,NA
"235","eel","F/N","40","47","468","pump","rugvin 1 knip 2018-10-23","Alive",643,453.666666666667,100,300,1,3,0,0,0,3,3,100,"F/N 40","Class_2.3",0,0
"236","eel","F/N","40","47","468","pump","rugvin 1 knip 2018-10-23","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,3,0,0,"F/N 40","Class_2.3",NA,NA
"237","eel","F/N","40","47","468","pump","staartvin 1 knip 2018-10-23","Alive",629.75,455,100,300,1,8,0,0,0,8,8,100,"F/N 40","Class_2.3",0,0
"238","eel","F/N","40","47","468","pump","staartvin 1 knip 2018-10-23","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,8,0,0,"F/N 40","Class_2.3",NA,NA
"239","eel","F/N","47","47","550","control","buikvin 1 knip 2018-10-23","Alive",637.617021276596,435.531914893617,50,50,1,45,2,0,0,47,47,100,"F/N 47","Class_2.3",1,0.0212765957446809
"240","eel","F/N","47","47","550","control","buikvin 1 knip 2018-10-23","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,47,0,0,"F/N 47","Class_2.3",NA,NA
"241","eel","F/N","47","47","550","pump","geen 2018-10-23","Alive",629.775510204082,430.897959183673,100,300,1,82,16,0,0,98,98,100,"F/N 47","Class_2.3",16,0.163265306122449
"242","eel","F/N","47","47","550","pump","geen 2018-10-23","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,98,0,0,"F/N 47","Class_2.3",NA,NA
"243","eel","F/N","47","47","550","pump","rugvin 1 knip 2018-10-23","Alive",633.295454545455,438.943181818182,100,300,1,82,6,0,0,88,88,100,"F/N 47","Class_2.3",6,0.0681818181818182
"244","eel","F/N","47","47","550","pump","rugvin 1 knip 2018-10-23","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,88,0,0,"F/N 47","Class_2.3",NA,NA
"245","eel","F/N","47","47","550","pump","staartvin 1 knip 2018-10-23","Alive",628.888888888889,425.716049382716,100,300,1,78,3,0,0,81,81,100,"F/N 47","Class_2.3",3,0.037037037037037
"246","eel","F/N","47","47","550","pump","staartvin 1 knip 2018-10-23","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,81,0,0,"F/N 47","Class_2.3",NA,NA
"247","roach","F/N","40","40","468","control","geen merkteken 2018-12-18","Alive",177.125,93.65625,50,100,1,36,12,0,0,48,48,100,"F/N 40","Class_2.3",12,0.25
"248","roach","F/N","40","40","468","control","geen merkteken 2018-12-18","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,48,0,0,"F/N 40","Class_2.3",NA,NA
"249","roach","F/N","40","40","468","control","staart onder + staart boven 2018-11-22","Alive",165.636363636364,74.4704545454545,50,100,1,34,10,0,0,47,44,94,"F/N 40","Class_2.3",10,0.212765957446809
"250","roach","F/N","40","40","468","control","staart onder + staart boven 2018-11-22","Dead",178,93.7,50,100,2,0,0,3,0,47,3,6,"F/N 40","Class_2.3",1,0.0212765957446809
"251","roach","F/N","40","40","468","pump","borstvin links + borstvin rechts (+ soms STAB) 2018-11-21","Alive",163.018181818182,72.2254545454545,100,400,1,32,23,0,0,77,55,71,"F/N 40","Class_2.3",22,0.285714285714286
"252","roach","F/N","40","40","468","pump","borstvin links + borstvin rechts (+ soms STAB) 2018-11-21","Dead",169.454545454545,79.6590909090909,100,400,1.59090909090909,4,7,11,3,77,22,29,"F/N 40","Class_2.3",14,0.181818181818182
"253","roach","F/N","40","40","468","pump","buikvin links + buikvin rechts 2018-11-22","Alive",166.169491525424,76.4796610169492,100,400,1,35,24,0,0,83,59,71,"F/N 40","Class_2.3",24,0.289156626506024
"254","roach","F/N","40","40","468","pump","buikvin links + buikvin rechts 2018-11-22","Dead",172.458333333333,83.6041666666667,100,400,1.5,5,6,13,0,83,24,29,"F/N 40","Class_2.3",12,0.144578313253012
"255","roach","F/N","40","40","468","pump","staart boven 2018-12-18","Alive",177.6,94.3066666666667,100,400,1,19,11,0,0,42,30,71,"F/N 40","Class_2.3",11,0.261904761904762
"256","roach","F/N","40","40","468","pump","staart boven 2018-12-18","Dead",176.666666666667,92.3416666666667,100,400,1.41666666666667,1,5,6,0,42,12,29,"F/N 40","Class_2.3",7,0.166666666666667
"257","roach","F/N","40","40","468","pump","staart onder 2018-11-21","Alive",163.969230769231,73.3353846153846,100,400,1,43,22,0,0,86,65,76,"F/N 40","Class_2.3",21,0.244186046511628
"258","roach","F/N","40","40","468","pump","staart onder 2018-11-21","Dead",166.047619047619,76.0238095238095,100,400,1.47619047619048,2,11,8,5,86,21,24,"F/N 40","Class_2.3",13,0.151162790697674
"259","roach","F/N","40","47","468","control","staart boven 2018-11-20","Alive",163,75.65,50,50,1,2,0,0,0,2,2,100,"F/N 40","Class_2.3",0,0
"260","roach","F/N","40","47","468","control","staart boven 2018-11-20","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,2,0,0,"F/N 40","Class_2.3",NA,NA
"261","roach","F/N","40","47","468","pump","borstvin links 2018-11-20","Alive",158,68,100,500,1,0,1,0,0,1,1,100,"F/N 40","Class_2.3",1,1
"262","roach","F/N","40","47","468","pump","borstvin links 2018-11-20","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,1,0,0,"F/N 40","Class_2.3",NA,NA
"263","roach","F/N","40","47","468","pump","borstvin rechts 2018-11-21","Alive",167.785714285714,78.4285714285714,100,500,1,9,5,0,0,21,14,67,"F/N 40","Class_2.3",5,0.238095238095238
"264","roach","F/N","40","47","468","pump","borstvin rechts 2018-11-21","Dead",161.857142857143,70.9571428571429,100,500,1.14285714285714,1,5,1,0,21,7,33,"F/N 40","Class_2.3",6,0.285714285714286
"265","roach","F/N","40","47","468","pump","buikvin links 2018-11-21","Alive",165.904761904762,76.7809523809524,100,500,1,13,8,0,0,33,21,64,"F/N 40","Class_2.3",8,0.242424242424242
"266","roach","F/N","40","47","468","pump","buikvin links 2018-11-21","Dead",168.416666666667,77.3666666666667,100,500,1.75,1,2,9,2,33,12,36,"F/N 40","Class_2.3",6,0.181818181818182
"267","roach","F/N","47","40","550","pump","staart boven 2018-12-18","Alive",174.758620689655,86.5413793103448,100,400,1,19,10,0,0,39,29,74,"F/N 47","Class_2.3",10,0.256410256410256
"268","roach","F/N","47","40","550","pump","staart boven 2018-12-18","Dead",178,95.45,100,400,1.7,0,2,8,0,39,10,26,"F/N 47","Class_2.3",1,0.0256410256410256
"269","roach","F/N","47","47","550","control","staart boven 2018-11-20","Alive",165.414634146341,74.0829268292683,50,50,1,37,4,0,0,41,41,100,"F/N 47","Class_2.3",3,0.0731707317073171
"270","roach","F/N","47","47","550","control","staart boven 2018-11-20","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,41,0,0,"F/N 47","Class_2.3",NA,NA
"271","roach","F/N","47","47","550","pump","borstvin links 2018-11-20","Alive",167.508474576271,77.2135593220339,100,500,1,40,19,0,0,86,59,69,"F/N 47","Class_2.3",19,0.22093023255814
"272","roach","F/N","47","47","550","pump","borstvin links 2018-11-20","Dead",168,79.8777777777778,100,500,1.44444444444444,3,10,14,0,86,27,31,"F/N 47","Class_2.3",16,0.186046511627907
"273","roach","F/N","47","47","550","pump","borstvin rechts 2018-11-21","Alive",166.461538461538,77.2903846153846,100,500,1,40,12,0,0,72,52,72,"F/N 47","Class_2.3",11,0.152777777777778
"274","roach","F/N","47","47","550","pump","borstvin rechts 2018-11-21","Dead",163.6,69.895,100,500,1.95,2,5,13,8,72,20,28,"F/N 47","Class_2.3",10,0.138888888888889
"275","roach","F/N","47","47","550","pump","buikvin links 2018-11-21","Alive",163.882352941176,72.4529411764706,100,500,1,24,10,0,0,56,34,61,"F/N 47","Class_2.3",10,0.178571428571429
"276","roach","F/N","47","47","550","pump","buikvin links 2018-11-21","Dead",168.409090909091,74.5272727272727,100,500,1.45454545454545,2,11,9,6,56,22,39,"F/N 47","Class_2.3",12,0.214285714285714
"277","roach","F/N","47","47","550","pump","buikvin rechts 2018-11-20","Alive",166.759259259259,77.0425925925926,100,500,1.01851851851852,41,13,0,0,87,54,62,"F/N 47","Class_2.3",13,0.149425287356322
"278","roach","F/N","47","47","550","pump","buikvin rechts 2018-11-20","Dead",167.545454545455,75.6757575757576,100,500,1.84848484848485,3,7,23,4,87,33,38,"F/N 47","Class_2.3",15,0.172413793103448
"279","roach","F/N","47","47","550","pump","geen 2018-11-20","Alive",168.238805970149,79.4089552238806,100,500,1.02985074626866,43,24,0,0,88,67,76,"F/N 47","Class_2.3",22,0.25
"280","roach","F/N","47","47","550","pump","geen 2018-11-20","Dead",167.857142857143,77.7047619047619,100,500,1.38095238095238,1,8,12,3,88,21,24,"F/N 47","Class_2.3",9,0.102272727272727
"281","bream","F/N","40","40","468","control","borstvin rechts 2018-12-18","Alive",405.52,1250,50,50,1,48,2,0,0,50,50,100,"F/N 40","Class_3.1",0,0
"282","bream","F/N","40","40","468","control","borstvin rechts 2018-12-18","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,50,0,0,"F/N 40","Class_3.1",NA,NA
"283","bream","F/N","40","40","468","pump","geen 2018-12-18","Alive",398,1215.81818181818,100,155,1,0,11,0,0,64,11,17,"F/N 40","Class_3.1",0,0
"284","bream","F/N","40","40","468","pump","geen 2018-12-18","Dead",397.032694029031,1076.64150943396,100,155,1.73584905660377,1,4,48,6,64,53,83,"F/N 40","Class_3.1",13,0.203125
"285","bream","F/N","40","40","468","pump","staart boven 2018-12-18","Alive",334.764705882353,665.611764705882,55,155,1,1,16,0,0,33,17,52,"F/N 40","Class_3.1",0,0
"286","bream","F/N","40","40","468","pump","staart boven 2018-12-18","Dead",356.634184061132,729.28125,55,155,1.25,0,2,14,0,33,16,48,"F/N 40","Class_3.1",1,0.0303030303030303
"287","bream","F/N","47","40","550","pump","geen 2018-12-18","Alive",400.6,1150.8,100,155,1.2,0,5,0,0,35,5,14,"F/N 47","Class_3.1",0,0
"288","bream","F/N","47","40","550","pump","geen 2018-12-18","Dead",404.170533770453,1017.23333333333,100,155,1.4,1,2,27,0,35,30,86,"F/N 47","Class_3.1",2,0.0571428571428571
"289","bream","F/N","47","40","550","pump","staart boven 2018-12-18","Alive",330.6,646.2,55,155,1.2,3,2,0,0,22,5,23,"F/N 47","Class_3.1",0,0
"290","bream","F/N","47","40","550","pump","staart boven 2018-12-18","Dead",330.176470588235,606.058823529412,55,155,1.47058823529412,0,4,13,0,22,17,77,"F/N 47","Class_3.1",1,0.0454545454545455
"291","bream","F/N","47","47","550","control","borstvin links 2018-12-19","Alive",407.431818181818,1257.11363636364,45,45,1,43,1,0,0,44,44,100,"F/N 47","Class_3.1",0,0
"292","bream","F/N","47","47","550","control","borstvin links 2018-12-19","Dead",NA,NA,45,NA,NA,NA,NA,NA,NA,44,0,0,"F/N 47","Class_3.1",NA,NA
"293","bream","F/N","47","47","550","pump","staart onder 2018-12-19","Alive",354.2,826.4,52,52,1,1,9,0,0,52,10,19,"F/N 47","Class_3.1",0,0
"294","bream","F/N","47","47","550","pump","staart onder 2018-12-19","Dead",363.095832697426,753.388095238095,52,52,1.4047619047619,1,2,39,0,52,42,81,"F/N 47","Class_3.1",10,0.192307692307692
"295","eel","F/N","40","40","468","control","borstvin links (bol) 2018-10-24","Alive",639.266666666667,453.622222222222,50,50,1,42,3,0,0,45,45,100,"F/N 40","Class_3.1",0,0
"296","eel","F/N","40","40","468","control","borstvin links (bol) 2018-10-24","Dead",NA,NA,50,NA,NA,NA,NA,NA,NA,45,0,0,"F/N 40","Class_3.1",NA,NA
"297","eel","F/N","40","40","468","pump","buikvin 2 knip 2018-10-24","Alive",638.220779220779,434.454545454545,100,300,1,74,3,0,0,77,77,100,"F/N 40","Class_3.1",0,0
"298","eel","F/N","40","40","468","pump","buikvin 2 knip 2018-10-24","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,77,0,0,"F/N 40","Class_3.1",NA,NA
"299","eel","F/N","40","40","468","pump","geen 2018-10-24","Alive",627.80487804878,428.573170731707,100,300,1,76,6,0,0,82,82,100,"F/N 40","Class_3.1",0,0
"300","eel","F/N","40","40","468","pump","geen 2018-10-24","Dead",NA,NA,100,NA,NA,NA,NA,NA,NA,82,0,0,"F/N 40","Class_3.1",NA,NA
"301","eel","F/N","40","40","468","pump","rugvin 2 knip 2018-10-24","Alive",632.255813953488,440.720930232558,100,300,1,80,6,0,0,86,86,100,"F/N 40","Class_3.1",0,0
